CSC 103,TEST I,,,,,,TEST II,,,,,,QUIZZES,,,,,LABS,,,,,,,TOTAL,"FINAL 
EXAM",,,,,,,TOTAL,Grade
SEC,Q1,Q2,Q3,Q4,T1,T1,Q1,Q2,Q3,Q4,T2,T2,Q1,Q2,PQ1,PQ2,Quiz,A1,A2,A3,A4,A5,A6,Lab,,Q1,Q2,Q3,Q4,Q5,Final,Final,,
,8,10,10,12,40,20%,6,6,12,16,40,20%,10,10,10,10,10%,10,10,10,10,10,10,10%,60%,16,14,16,14,20,80,40%,100%,
25,8.0,9.6,7.5,10.0,35.1,17.6,6.0,5.8,9.0,13.0,33.8,16.9,10.0,10.0,10.0,7.0,9.1,10.0,10.0,3.0,10.0,10.0,10.0,8.8,52.4,13.5,11.0,14.0,6.5,15.0,60.0,30.0,82,B
25,6.8,5.7,5.5,10.0,27.9,14.0,2.5,4.5,4.5,5.0,16.5,8.3,8.0,8.0,7.0,6.5,7.3,10.0,8.0,8.0,10.0,,10.0,7.7,37.1,11.3,2.0,9.0,4.0,9.0,35.3,17.6,55,F
25,8.0,5.6,6.5,9.0,29.1,14.6,1.0,5.0,3.0,8.0,17.0,8.5,2.0,3.5,9.0,3.0,4.7,10.0,10.0,3.0,10.0,10.0,10.0,8.8,36.6,5.0,4.0,2.0,3.5,3.0,17.5,8.8,45,F
25,8.0,9.7,8.5,10.0,36.2,18.1,6.0,6.0,10.0,10.0,32.0,16.0,8.0,9.0,10.0,9.0,9.1,10.0,5.0,3.0,10.0,10.0,10.0,8.0,51.2,11.0,11.0,14.5,10.5,15.0,62.0,31.0,82,B
25,7.3,10.0,9.5,11.0,37.8,18.9,4.5,2.5,5.0,8.0,20.0,10.0,6.0,8.5,8.0,4.0,6.5,10.0,10.0,5.0,10.0,10.0,10.0,9.2,44.5,8.0,1.0,12.0,3.0,11.0,35.0,17.5,62,D
25,8.0,7.4,8.0,11.0,34.4,17.2,4.5,6.0,7.0,12.0,29.5,14.8,7.0,10.0,10.0,0.0,6.4,10.0,10.0,5.0,0.0,10.0,0.0,5.8,44.2,8.8,2.0,11.0,2.0,7.0,30.8,15.4,60,D
25,7.0,5.6,8.5,11.0,32.1,16.0,6.0,6.0,7.0,8.0,27.0,13.5,7.0,10.0,8.0,3.0,6.7,10.0,10.0,3.0,10.0,10.0,10.0,8.8,45.1,13.0,11.0,16.0,6.0,10.0,56.0,28.0,73,C
25,7.8,4.0,5.5,9.0,26.3,13.1,1.5,4.5,1.5,8.0,15.5,7.8,7.0,,10.0,7.0,6.5,10.0,0.0,7.0,10.0,0.0,10.0,6.2,33.5,7.0,2.0,3.0,2.0,4.0,18.0,9.0,43,F
25,8.0,9.0,8.5,12.0,37.5,18.8,5.0,5.5,12.0,12.0,34.5,17.3,10.0,7.5,7.5,8.0,8.2,10.0,10.0,10.0,10.0,10.0,10.0,10.0,54.2,12.8,12.0,16.0,11.0,19.0,70.8,35.4,90,A
25,6.5,8.7,7.5,12.0,34.7,17.4,6.0,6.0,11.5,14.0,37.5,18.8,7.0,10.0,10.0,10.0,9.4,10.0,7.0,10.0,10.0,10.0,10.0,9.5,55.0,14.8,12.0,16.0,14.0,16.0,72.8,36.4,91,A
25,7.0,6.5,5.5,8.0,27.0,13.5,6.0,5.0,9.0,7.0,27.0,13.5,7.0,8.5,5.0,3.0,5.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,42.5,8.8,4.0,10.5,1.0,7.0,31.3,15.6,58,D
25,8.0,5.6,7.5,11.0,32.1,16.0,6.0,5.0,10.5,14.0,35.5,17.8,10.0,9.5,10.0,8.5,9.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,53.2,9.3,12.0,15.0,8.0,14.0,58.3,29.1,82,B
25,6.0,6.3,6.5,7.0,25.8,12.9,5.0,3.5,3.5,6.0,18.0,9.0,9.0,7.0,6.0,7.0,7.1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,39.0,9.0,5.0,7.0,2.5,6.0,29.5,14.8,54,F
25,3.0,2.0,5.5,2.0,12.5,6.3,,,,,0.0,0.0,,,3.0,0.0,0.9,10.0,0.0,0.0,0.0,0.0,0.0,1.7,8.8,,,,,,,,,W
25,8.0,9.0,9.5,12.0,38.5,19.2,6.0,6.0,11.0,14.0,37.0,18.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,10.0,10.0,10.0,9.2,56.9,15.0,12.5,16.0,14.0,14.0,71.5,35.8,93,A
25,7.0,10.0,8.0,11.0,36.0,18.0,6.0,6.0,12.0,12.0,36.0,18.0,8.0,10.0,10.0,9.0,9.3,10.0,9.0,7.0,10.0,10.0,10.0,9.3,54.6,13.5,10.0,14.0,6.5,13.0,57.0,28.5,83,B
25,8.0,9.2,10.0,12.0,39.2,19.6,6.0,6.0,11.5,15.5,39.0,19.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,59.1,13.8,14.0,16.0,14.0,11.0,68.8,34.4,93,A
25,7.8,8.6,8.5,10.0,34.8,17.4,5.0,5.0,6.5,11.0,27.5,13.8,5.0,8.0,10.0,5.0,7.1,10.0,10.0,7.0,10.0,10.0,10.0,9.5,47.8,,,,,,,,,F
25,6.0,4.7,4.0,9.0,23.7,11.9,1.0,4.5,1.0,4.0,10.5,5.3,4.0,4.0,8.0,2.0,4.6,10.0,10.0,7.0,10.0,0.0,10.0,7.8,29.5,4.5,1.0,3.5,2.0,3.0,14.0,7.0,37,F
25,7.3,4.5,9.5,8.0,29.3,14.6,6.0,6.0,9.5,10.0,31.5,15.8,10.0,8.0,10.0,9.5,9.5,10.0,7.0,5.0,10.0,10.0,10.0,8.7,48.5,12.0,3.0,16.0,10.0,17.0,58.0,29.0,77,B-
25,6.5,1.8,7.0,5.0,20.3,10.2,3.5,5.5,6.5,8.0,23.5,11.8,6.0,6.0,6.5,6.5,6.3,10.0,7.0,3.0,10.0,10.0,10.0,8.3,36.5,9.5,5.0,9.5,3.5,9.0,36.5,18.3,55,F
